START,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,END
{,DSKE,"Daseke, Inc.",5.28,$340.54M,2015,Consumer Services,Transportation Services,}
{,DSKEW,"Daseke, Inc.",0.37,n/a,2015,Consumer Services,Transportation Services,}
{,DAIO,Data I/O Corporation,4.6,$38.12M,1981,Capital Goods,Electrical Products,}
{,DTSS,Datasea Inc.,1.999,$41.87M,n/a,Technology,Computer Software: Prepackaged Software,}
{,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",59.09,$2.15B,2014,Consumer Services,Restaurants,}
{,DTEA,DAVIDsTEA Inc.,1.31,$34.08M,2015,Consumer Non-Durables,Food Chains,}
{,DFNL,Davis Select Financial ETF,23.32,$146.92M,n/a,n/a,n/a,}
{,DINT,Davis Select International ETF,17.93,$113.86M,n/a,n/a,n/a,}
{,DUSA,Davis Select U.S. Equity ETF,23.49,$191.44M,n/a,n/a,n/a,}
{,DWLD,Davis Select Worldwide ETF,23.65,$227.04M,n/a,n/a,n/a,}
{,DWSN,Dawson Geophysical Company,2.41,$55.84M,n/a,Energy,Oil & Gas Production,}
{,DBVT,DBV Technologies S.A.,8.99,$649.37M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,DDMX,DD3 Acquisition Corp.,9.95,$71.87M,2018,Finance,Business Services,}
{,DDMXU,DD3 Acquisition Corp.,10.18,$73.53M,2018,Finance,Business Services,}
{,DDMXW,DD3 Acquisition Corp.,0.25,n/a,2018,Finance,Business Services,}
{,DCPH,"Deciphera Pharmaceuticals, Inc.",23.01,$878.73M,2017,Health Care,Major Pharmaceuticals,}
{,DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",5.71,$190.81M,2012,Consumer Services,Restaurants,}
{,TACO,"Del Taco Restaurants, Inc.",11.58,$425.51M,2014,Consumer Services,Restaurants,}
{,TACOW,"Del Taco Restaurants, Inc.",1.93,n/a,2014,Consumer Services,Restaurants,}
{,DMPI,"DelMar Pharmaceuticals, Inc.",2.88,$7.64M,n/a,Health Care,Major Pharmaceuticals,}
{,DNLI,Denali Therapeutics Inc.,22.31,$2.13B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,DENN,Denny&#39;s Corporation,19.32,$1.16B,n/a,Consumer Services,Restaurants,}
{,XRAY,DENTSPLY SIRONA Inc.,55.01,$12.87B,1987,Health Care,Medical/Dental Instruments,}
{,DDOC,"DERMAdoctor, Inc.",n/a,n/a,n/a,n/a,n/a,}
{,DERM,"Dermira, Inc.",10.68,$573.17M,2014,Health Care,Major Pharmaceuticals,}
{,DEST,Destination Maternity Corporation,2.08,$29.83M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,DXLG,"Destination XL Group, Inc.",1.95,$96.57M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,DSWL,"Deswell Industries, Inc.",2.98,$47.34M,1995,Consumer Non-Durables,Plastic Products,}
{,DXCM,"DexCom, Inc.",118.79,$10.82B,2005,Health Care,Medical/Dental Instruments,}
{,DFBH,DFB Healthcare Acquisitions Corp.,10.04,$313.75M,2018,Finance,Business Services,}
{,DFBHU,DFB Healthcare Acquisitions Corp.,10.33,n/a,2018,Finance,Business Services,}
{,DFBHW,DFB Healthcare Acquisitions Corp.,0.8,n/a,2018,Finance,Business Services,}
{,DHXM,DHX Media Ltd.,1.41,$190.23M,n/a,n/a,n/a,}
{,DMAC,DiaMedica Therapeutics Inc.,3.17,$37.9M,2018,Health Care,Major Pharmaceuticals,}
{,DEACU,Diamond Eagle Acquisition Corp.,10.03,n/a,2019,n/a,n/a,}
{,DHIL,"Diamond Hill Investment Group, Inc.",141.98,$496.19M,n/a,Finance,Investment Managers,}
{,FANG,"Diamondback Energy, Inc.",107.89,$17.76B,2012,Energy,Oil & Gas Production,}
{,DPHC,DiamondPeak Holdings Corp.,9.81,n/a,2019,Finance,Business Services,}
{,DPHCU,DiamondPeak Holdings Corp.,10.05,n/a,2019,Finance,Business Services,}
{,DPHCW,DiamondPeak Holdings Corp.,0.88,n/a,2019,n/a,n/a,}
{,DRNA,"Dicerna Pharmaceuticals, Inc.",11.39,$778.21M,2014,Health Care,Major Pharmaceuticals,}
{,DFFN,Diffusion Pharmaceuticals Inc.,4.3,$14.53M,n/a,Health Care,Major Pharmaceuticals,}
{,DGII,Digi International Inc.,12.14,$340.64M,1989,Technology,Computer Communications Equipment,}
{,DMRC,Digimarc Corporation,58.28,$706.82M,n/a,Technology,EDP Services,}
{,DRAD,Digirad Corporation,0.65,$13.2M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,DGLY,"Digital Ally, Inc.",4.75,$52.55M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,APPS,"Digital Turbine, Inc.",3.82,$300.14M,n/a,Miscellaneous,Multi-Sector Companies,}
{,DCOM,"Dime Community Bancshares, Inc.",19.83,$714.28M,n/a,Finance,Savings Institutions,}
{,DIOD,Diodes Incorporated,37.81,$1.91B,n/a,Technology,Semiconductors,}
{,DISCA,"Discovery, Inc.",28.46,$14.94B,n/a,Consumer Services,Television Services,}
{,DISCB,"Discovery, Inc.",32.02,$16.81B,n/a,Consumer Services,Television Services,}
{,DISCK,"Discovery, Inc.",26.77,$14.05B,n/a,Consumer Services,Television Services,}
{,DISH,DISH Network Corporation,35.46,$8.18B,1995,Consumer Services,Television Services,}
{,DVCR,Diversicare Healthcare Services Inc.,3.51,$23.45M,n/a,Health Care,Hospital/Nursing Management,}
{,SAUC,"Diversified Restaurant Holdings, Inc.",0.95,$31.55M,n/a,Consumer Services,Restaurants,}
{,DLHC,DLH Holdings Corp.,6,$72.22M,n/a,Technology,Professional Services,}
{,BOOM,DMC Global Inc.,68.1,$1.02B,n/a,Capital Goods,Industrial Specialties,}
{,DNBF,DNB Financial Corp,38.68,$167.53M,n/a,Finance,Major Banks,}
{,DOCU,"DocuSign, Inc.",53.05,$9.19B,2018,Technology,Computer Software: Prepackaged Software,}
{,DOGZ,Dogness (International) Corporation,3.35,$86.81M,2017,Consumer Durables,Miscellaneous manufacturing industries,}
{,DLTR,"Dollar Tree, Inc.",104.02,$24.81B,1995,Consumer Services,Department/Specialty Retail Stores,}
{,DLPN,"Dolphin Entertainment, Inc.",1.33,$19.14M,n/a,Consumer Services,Other Consumer Services,}
{,DLPNW,"Dolphin Entertainment, Inc.",0.0385,n/a,n/a,Consumer Services,Other Consumer Services,}
{,DOMO,"Domo, Inc.",36.72,$993.53M,2018,Technology,Computer Software: Prepackaged Software,}
{,DGICA,"Donegal Group, Inc.",14.255,$405.22M,n/a,Finance,Property-Casualty Insurers,}
{,DGICB,"Donegal Group, Inc.",12.37,$351.64M,1986,Finance,Property-Casualty Insurers,}
{,DMLP,"Dorchester Minerals, L.P.",19.14,$663.77M,n/a,Energy,Oil & Gas Production,}
{,DORM,"Dorman Products, Inc.",85.67,$2.82B,n/a,Capital Goods,Auto Parts:O.E.M.,}
{,DOVA,"Dova Pharmaceuticals, Inc.",10.92,$308.3M,2017,Health Care,Major Pharmaceuticals,}
{,LYL,Dragon Victory International Limited,1.36,$15.53M,2017,Finance,Finance/Investors Services,}
{,DBX,"Dropbox, Inc.",23.5,$10.01B,2018,Technology,Computer Software: Prepackaged Software,}
{,DCAR,"DropCar, Inc.",1.72,$5.92M,n/a,Consumer Services,Telecommunications Equipment,}
{,DRYS,DryShips Inc.,3.92,$340.6M,2005,Transportation,Marine Transportation,}
{,DSPG,"DSP Group, Inc.",15.27,$345.5M,1994,Technology,Semiconductors,}
{,DLTH,Duluth Holdings Inc.,16.7,$545.3M,2015,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,DNKN,"Dunkin&#39; Brands Group, Inc.",74.27,$6.14B,2011,Consumer Services,Restaurants,}
{,DRRX,DURECT Corporation,0.7234,$117.45M,2000,Health Care,Major Pharmaceuticals,}
{,DXPE,"DXP Enterprises, Inc.",37.07,$652.25M,n/a,Capital Goods,Industrial Machinery/Components,}
{,DYAI,"Dyadic International, Inc.",4.45,$119.1M,n/a,Basic Industries,Major Chemicals,}
{,DYSL,Dynasil Corporation of America,1.0401,$18.17M,n/a,Capital Goods,Industrial Machinery/Components,}
{,DYNT,Dynatronics Corporation,1.759,$14.54M,n/a,Health Care,Medical/Dental Instruments,}
{,DVAX,Dynavax Technologies Corporation,7.89,$513.35M,2004,Health Care,Major Pharmaceuticals,}
{,ETFC,E*TRADE Financial Corporation,49.65,$12.15B,n/a,Finance,Savings Institutions,}
{,SSP,E.W. Scripps Company (The),21.6,$1.74B,n/a,Consumer Services,Broadcasting,}
{,EBMT,"Eagle Bancorp Montana, Inc.",16.97,$108.67M,n/a,Finance,Major Banks,}
{,EGBN,"Eagle Bancorp, Inc.",56.65,$1.96B,n/a,Finance,Major Banks,}
{,EGLE,Eagle Bulk Shipping Inc.,5.47,$400.16M,n/a,Transportation,Marine Transportation,}
{,EFBI,"Eagle Financial Bancorp, Inc.",15.75,$25.87M,2017,Finance,Savings Institutions,}
{,EGRX,"Eagle Pharmaceuticals, Inc.",57.35,$798.86M,2014,Health Care,Major Pharmaceuticals,}
{,IGLE,Eagleline Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,}
{,EWBC,"East West Bancorp, Inc.",50.19,$7.3B,n/a,Finance,Major Banks,}
{,EML,Eastern Company (The),26.88,$167.54M,n/a,Capital Goods,Industrial Machinery/Components,}
{,EAST,"Eastside Distilling, Inc.",5.65,$51.43M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),}
{,EVGBC,Eaton Vance NextShares Trust,99.99,$62.49M,n/a,n/a,n/a,}
{,EVSTC,Eaton Vance NextShares Trust,99.98,$44.99M,n/a,n/a,n/a,}
{,EVFTC,Eaton Vance NextShares Trust II,100.03,$52.52M,n/a,n/a,n/a,}
{,EVLMC,Eaton Vance NextShares Trust II,100.04,$35.01M,n/a,n/a,n/a,}
{,OKDCC,Eaton Vance NextShares Trust II,99.96,$512.3M,n/a,n/a,n/a,}
{,EBAY,eBay Inc.,37.38,$32.58B,1998,Miscellaneous,Business Services,}
{,EBAYL,eBay Inc.,25.96,n/a,n/a,Miscellaneous,Business Services,}
{,EBIX,"Ebix, Inc.",53.65,$1.64B,n/a,Technology,EDP Services,}
{,ECHO,"Echo Global Logistics, Inc.",22.3,$622.1M,2009,Transportation,Oil Refining/Marketing,}
{,SATS,EchoStar Corporation,40.11,$1.93B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,EEI,"Ecology and Environment, Inc.",11.68,$50.38M,1987,Consumer Services,Military/Government/Technical,}
{,EDAP,EDAP TMS S.A.,4.37,$126.72M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,EDNT,"Edison Nation, Inc.",3.8001,$21.59M,2018,Consumer Non-Durables,Recreational Products/Toys,}
{,EDIT,"Editas Medicine, Inc.",24.45,$1.2B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,EDTX,EdtechX Holdings Acquisition Corp.,10,$79.06M,2018,Finance,Business Services,}
{,EDTXU,EdtechX Holdings Acquisition Corp.,10.18,$80.49M,2018,Finance,Business Services,}
{,EDTXW,EdtechX Holdings Acquisition Corp.,0.26,n/a,2018,Finance,Business Services,}
{,EDUC,Educational Development Corporation,8.58,$70.34M,n/a,Consumer Durables,Consumer Specialties,}
{,EGAN,eGain Corporation,8.2,$228.8M,1999,Technology,Computer Software: Prepackaged Software,}
{,EHTH,"eHealth, Inc.",61.57,$1.39B,2006,Finance,Specialty Insurers,}
{,EIDX,"Eidos Therapeutics, Inc.",24.97,$919.58M,2018,Health Care,Major Pharmaceuticals,}
{,EIGR,"Eiger BioPharmaceuticals, Inc.",11,$268.79M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,EKSO,"Ekso Bionics Holdings, Inc.",1.86,$125.86M,n/a,Capital Goods,Industrial Machinery/Components,}
{,LOCO,"El Pollo Loco Holdings, Inc.",11.89,$456.97M,2014,Consumer Services,Restaurants,}
{,ESLT,Elbit Systems Ltd.,139.34,$5.96B,n/a,Capital Goods,Military/Government/Technical,}
{,ERI,"Eldorado Resorts, Inc.",48.27,$3.74B,n/a,Consumer Services,Hotels/Resorts,}
{,SOLO,Electrameccanica Vehicles Corp. Ltd.,3.05,$112.26M,n/a,Capital Goods,Auto Manufacturing,}
{,SOLOW,Electrameccanica Vehicles Corp. Ltd.,0.82,n/a,n/a,Capital Goods,Auto Manufacturing,}
{,ECOR,"electroCore, Inc.",5.97,$175.78M,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,EA,Electronic Arts Inc.,93.88,$28.13B,n/a,Technology,Computer Software: Prepackaged Software,}
{,EFII,"Electronics for Imaging, Inc.",37.1,$1.6B,1992,Technology,Computer Communications Equipment,}
{,ELSE,"Electro-Sensors, Inc.",3.6,$12.22M,n/a,Capital Goods,Industrial Machinery/Components,}
{,ESBK,Elmira Savings Bank NY (The),16.5,$57.46M,n/a,Finance,Major Banks,}
{,ELOX,"Eloxx Pharmaceuticals, Inc.",11.5,$414.29M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,}
{,ELTK,Eltek Ltd.,1.345,$5.89M,1997,Technology,Electrical Products,}
{,EMCI,EMC Insurance Group Inc.,36.09,$782.01M,1982,Finance,Property-Casualty Insurers,}
{,EMCF,Emclaire Financial Corp,31.3058,$84.49M,n/a,Finance,Major Banks,}
{,EMKR,EMCORE Corporation,3.75,$104.46M,1997,Technology,Semiconductors,}
{,EMMS,Emmis Communications Corporation,3.605,$47.22M,1994,Consumer Services,Broadcasting,}
{,NYNY,"Empire Resorts, Inc.",13.97,$480.76M,n/a,Consumer Services,Restaurants,}
{,ENTA,"Enanta Pharmaceuticals, Inc.",87.98,$1.71B,2013,Health Care,Major Pharmaceuticals,}
{,ECPG,Encore Capital Group Inc,36.68,$1.14B,n/a,Finance,Finance Companies,}
{,WIRE,Encore Wire Corporation,56.59,$1.18B,1992,Capital Goods,Metal Fabrications,}
{,ENDP,Endo International plc,8.06,$1.8B,n/a,Health Care,Major Pharmaceuticals,}
{,ELGX,"Endologix, Inc.",6.7,$112.47M,n/a,Health Care,Medical/Dental Instruments,}
{,NDRA,ENDRA Life Sciences Inc.,1.42,$10.54M,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,NDRAW,ENDRA Life Sciences Inc.,0.5023,n/a,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,}
{,EIGI,"Endurance International Group Holdings, Inc.",5.11,$745.86M,2013,Technology,Computer Software: Prepackaged Software,}
{,WATT,Energous Corporation,5.17,$156.8M,2014,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,EFOI,"Energy Focus, Inc.",0.5601,$6.91M,n/a,Consumer Durables,Building Products,}
{,EHR,"Energy Hunter Resources, Inc.",n/a,n/a,n/a,n/a,n/a,}
{,ERII,"Energy Recovery, Inc.",10.47,$570.39M,2008,Technology,Industrial Machinery/Components,}
{,ENG,ENGlobal Corporation,0.78,$21.38M,n/a,Consumer Services,Military/Government/Technical,}
{,ENLV,Enlivex Therapeutics Ltd.,10.6,$107.21M,2014,Health Care,Major Pharmaceuticals,}
{,ENOB,"Enochian Biosciences, Inc.",5.8,$224.98M,n/a,Health Care,Major Pharmaceuticals,}
{,ENPH,"Enphase Energy, Inc.",14.02,$1.55B,2012,Technology,Semiconductors,}
{,ESGR,Enstar Group Limited,177.94,$3.82B,n/a,Finance,Property-Casualty Insurers,}
{,ESGRO,Enstar Group Limited,25.95,"$114,180 ",n/a,Finance,Property-Casualty Insurers,}
{,ESGRP,Enstar Group Limited,26.27,"$420,320 ",n/a,Finance,Property-Casualty Insurers,}
{,ETTX,Entasis Therapeutics Holdings Inc.,6.68,$87.71M,2018,Health Care,Major Pharmaceuticals,}
{,ENFC,Entegra Financial Corp.,29.67,$205.29M,2014,Finance,Banks,}
{,ENTG,"Entegris, Inc.",39.08,$5.3B,2000,Consumer Non-Durables,Plastic Products,}
{,ENTX,Entera Bio Ltd.,4.1,$46.99M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,ENTXW,Entera Bio Ltd.,0.68,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,EBTC,Enterprise Bancorp Inc,30.73,$362.46M,n/a,Finance,Major Banks,}
{,EFSC,Enterprise Financial Services Corporation,42.55,$1.14B,n/a,Finance,Major Banks,}
{,EVSI,"Envision Solar International, Inc.",5.25,$25.76M,n/a,Technology,Semiconductors,}
{,EVSIW,"Envision Solar International, Inc.",1.26,n/a,n/a,Technology,Semiconductors,}
{,EPZM,"Epizyme, Inc.",12.12,$1.1B,2013,Health Care,Major Pharmaceuticals,}
{,PLUS,ePlus inc.,90.82,$1.24B,1996,Technology,Retail: Computer Software & Peripheral Equipment,}
{,EPSN,Epsilon Energy Ltd.,4,$109.54M,n/a,Energy,Oil & Gas Production,}
{,EQ,"Equillium, Inc.",5.98,$103.91M,2018,Health Care,Major Pharmaceuticals,}
{,EQIX,"Equinix, Inc.",479.82,$40.34B,2000,Consumer Services,Real Estate Investment Trusts,}
{,EQBK,"Equity Bancshares, Inc.",27.03,$427.63M,2015,Finance,Major Banks,}
{,ERIC,Ericsson,9.31,$30.74B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,}
{,ERIE,Erie Indemnity Company,198.5,$10.38B,n/a,Finance,Specialty Insurers,}
{,ERYP,Erytech Pharma S.A.,7.38,$132.38M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,ESCA,"Escalade, Incorporated",11.65,$168.59M,n/a,Consumer Non-Durables,Recreational Products/Toys,}
{,ESPR,"Esperion Therapeutics, Inc.",50.17,$1.35B,2013,Health Care,Major Pharmaceuticals,}
{,ESQ,"Esquire Financial Holdings, Inc.",23.86,$179.73M,2017,Finance,Commercial Banks,}
{,ESSA,"ESSA Bancorp, Inc.",15.27,$174.21M,n/a,Finance,Banks,}
{,EPIX,ESSA Pharma Inc.,2.44,$15.4M,n/a,Health Care,Major Pharmaceuticals,}
{,ESTA,Establishment Labs Holdings Inc.,26.4,$538.73M,2018,Health Care,Industrial Specialties,}
{,ESTR,"Estre Ambiental, Inc.",1.31,$67.05M,n/a,Public Utilities,Environmental Services,}
{,ESTRW,"Estre Ambiental, Inc.",0.05,n/a,n/a,Public Utilities,Environmental Services,}
{,VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,49.055,$421.87M,n/a,n/a,n/a,}
{,VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,31.55,$479.56M,n/a,n/a,n/a,}
{,VIDI,ETF Series Solutions Trust Vident International Equity Fund,23.89,n/a,n/a,n/a,n/a,}
{,ETON,"Eton Pharmaceuticals, Inc.",8.3,$146.31M,2018,Health Care,Major Pharmaceuticals,}
{,ETSY,"Etsy, Inc.",61.8,$7.43B,2015,Miscellaneous,Business Services,}
{,CLWT,Euro Tech Holdings Company Limited,4.64,$9.57M,1997,Consumer Durables,Diversified Electronic Products,}
{,EDRY,EuroDry Ltd.,7.74,$17.65M,n/a,Consumer Services,Marine Transportation,}
{,EEFT,"Euronet Worldwide, Inc.",151.46,$7.87B,1997,Finance,Investment Bankers/Brokers/Service,}
{,ESEA,Euroseas Ltd.,0.6901,$8.64M,n/a,Transportation,Marine Transportation,}
{,EVLO,"Evelo Biosciences, Inc.",8.17,$261.8M,2018,Health Care,Major Pharmaceuticals,}
{,EVBG,"Everbridge, Inc.",79.78,$2.62B,2016,Technology,Computer Software: Prepackaged Software,}
{,EVK,"Ever-Glory International Group, Inc.",3.7,$54.76M,n/a,Consumer Non-Durables,Apparel,}
{,EVER,"EverQuote, Inc.",10.7,$108.57M,2018,Technology,"Computer Software: Programming, Data Processing",}
{,MRAM,"Everspin Technologies, Inc.",7.21,$123.52M,2016,Technology,Semiconductors,}
{,EVLV,EVINE Live Inc.,0.4515,$34.29M,n/a,Consumer Services,Catalog/Specialty Distribution,}
{,EVOP,"EVO Payments, Inc.",28.98,$2.37B,2018,Miscellaneous,Business Services,}
{,EVFM,"Evofem Biosciences, Inc.",6.72,$237.67M,2014,Health Care,Major Pharmaceuticals,}
{,EVGN,Evogene Ltd.,1.85,$47.65M,n/a,Basic Industries,Agricultural Chemicals,}
{,EVOK,"Evoke Pharma, Inc.",0.655,$15.24M,2013,Health Care,Major Pharmaceuticals,}
{,EOLS,"Evolus, Inc.",23.51,$642.6M,2018,Health Care,Major Pharmaceuticals,}
{,EVOL,"Evolving Systems, Inc.",1.03,$12.56M,1998,Technology,EDP Services,}
{,EXAS,Exact Sciences Corporation,92.38,$11.93B,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,}
{,FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,38.7072,$15.48M,n/a,n/a,n/a,}
{,ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,39.45,$181.47M,n/a,n/a,n/a,}
{,XELA,"Exela Technologies, Inc.",3.21,$481.96M,2015,Miscellaneous,Business Services,}
{,EXEL,"Exelixis, Inc.",19.76,$5.96B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,}
{,EXFO,EXFO Inc,4.65,$110.44M,n/a,Capital Goods,Electrical Products,}
{,EXLS,"ExlService Holdings, Inc.",60.4,$2.07B,2006,Miscellaneous,Business Services,}
{,EXPI,"eXp World Holdings, Inc.",9.95,$608.36M,n/a,Finance,Real Estate,}
{,EXPE,"Expedia Group, Inc.",118.76,$17.67B,n/a,Consumer Services,Transportation Services,}
{,EXPD,"Expeditors International of Washington, Inc.",73.81,$12.7B,n/a,Transportation,Oil Refining/Marketing,}
{,EXPO,"Exponent, Inc.",55.57,$2.88B,n/a,Consumer Services,Professional Services,}
{,STAY,"Extended Stay America, Inc.",18.15,$3.42B,n/a,Consumer Services,Hotels/Resorts,}
{,XOG,"Extraction Oil & Gas, Inc.",4.24,$690.48M,2016,Energy,Oil & Gas Production,}
{,EXTR,"Extreme Networks, Inc.",6.4,$759.48M,1999,Technology,Computer Communications Equipment,}
{,EYEG,"Eyegate Pharmaceuticals, Inc.",0.2504,$11.41M,n/a,Health Care,Major Pharmaceuticals,}
{,EYEGW,"Eyegate Pharmaceuticals, Inc.",0.0125,n/a,n/a,Health Care,Major Pharmaceuticals,}
{,EYEN,"Eyenovia, Inc.",6.04,$72.6M,2018,Health Care,Major Pharmaceuticals,}
{,EYPT,"EyePoint Pharmaceuticals, Inc.",1.74,$184.62M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,}
{,EZPW,"EZCORP, Inc.",9.41,$521.74M,1991,Consumer Services,Other Specialty Stores,}
{,FFIV,"F5 Networks, Inc.",148.57,$8.87B,1999,Technology,Computer Communications Equipment,}
{,FB,"Facebook, Inc.",188.34,$537.61B,2012,Technology,"Computer Software: Programming, Data Processing",}
{,FLMN,Falcon Minerals Corporation,8.21,$704.9M,2017,Energy,Oil & Gas Production,}
{,FLMNW,Falcon Minerals Corporation,0.7463,n/a,2017,Energy,Oil & Gas Production,}
{,DAVE,"Famous Dave&#39;s of America, Inc.",5.02,$46.56M,n/a,Consumer Services,Restaurants,}
{,FANH,Fanhua Inc.,25.86,$1.68B,n/a,Finance,Specialty Insurers,}
{,FARM,Farmer Brothers Company,18.78,$320.01M,n/a,Consumer Non-Durables,Packaged Foods,}
{,FMAO,"Farmers & Merchants Bancorp, Inc.",31.39,$348.62M,n/a,Finance,Savings Institutions,}
{,FMNB,Farmers National Banc Corp.,14.74,$409.43M,n/a,Finance,Major Banks,}
{,FAMI,"FARMMI, INC.",2.19,$26.13M,2018,Consumer Non-Durables,Packaged Foods,}
{,FARO,"FARO Technologies, Inc.",52.7,$912.7M,1997,Capital Goods,Industrial Machinery/Components,}
{,FAST,Fastenal Company,65.64,$18.79B,1987,Consumer Services,RETAIL: Building Materials,}
{,FAT,FAT Brands Inc.,4.7277,$55.82M,2017,Consumer Services,Restaurants,}
{,FATE,"Fate Therapeutics, Inc.",17.44,$1.14B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,FBSS,"Fauquier Bankshares, Inc.",21.6694,$82.02M,n/a,Finance,Major Banks,}
{,FNHC,FedNat Holding Company,15.36,$197.17M,n/a,Finance,Property-Casualty Insurers,}
{,FENC,Fennec Pharmaceuticals Inc.,4.17,$82.97M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),}
{,GSM,Ferroglobe PLC,2.14,$361.92M,n/a,Capital Goods,Metal Fabrications,}
{,FFBW,"FFBW, Inc.",10.5631,$70.19M,2017,Finance,Savings Institutions,}
{,FCSC,Fibrocell Science Inc.,2.13,$20.79M,n/a,Health Care,Major Pharmaceuticals,}
{,FGEN,"FibroGen, Inc",36.39,$3.14B,2014,Health Care,Major Pharmaceuticals,}
{,FDBC,"Fidelity D & D Bancorp, Inc.",60.45,$228.56M,n/a,Finance,Major Banks,}
{,ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,311.31,$2.07B,n/a,n/a,n/a,}
{,LION,Fidelity Southern Corporation,29.24,$808.7M,n/a,Finance,Major Banks,}
{,FDUS,Fidus Investment Corporation,16.15,$395.08M,2011,n/a,n/a,}
{,FDUSL,Fidus Investment Corporation,25.53,n/a,n/a,n/a,n/a,}
{,FDUSZ,Fidus Investment Corporation,25.472,n/a,n/a,n/a,n/a,}
{,FRGI,"Fiesta Restaurant Group, Inc.",13.65,$374.72M,n/a,Consumer Services,Restaurants,}
{,FITB,Fifth Third Bancorp,28.03,$20.73B,n/a,Finance,Major Banks,}
{,FITBI,Fifth Third Bancorp,28,$504M,n/a,Finance,Major Banks,}
{,FISI,"Financial Institutions, Inc.",28.63,$457.63M,1999,Finance,Major Banks,}
{,FNSR,Finisar Corporation,23.46,$2.77B,1999,Technology,Semiconductors,}
{,FNJN,"Finjan Holdings, Inc.",3.13,$86.42M,n/a,Miscellaneous,Multi-Sector Companies,}
{,FTAC,FinTech Acquisition Corp. III,9.78,$433.13M,2019,Finance,Business Services,}
{,FTACU,FinTech Acquisition Corp. III,10.5,n/a,2018,Finance,Business Services,}
{,FTACW,FinTech Acquisition Corp. III,1.3646,n/a,2019,Finance,Business Services,}
{,FEYE,"FireEye, Inc.",15.6,$3.17B,2013,Technology,Computer peripheral equipment,}
{,FBNC,First Bancorp,37.73,$1.12B,1987,Finance,Major Banks,}
{,FNLC,"First Bancorp, Inc (ME)",26.35,$286.89M,n/a,Finance,Major Banks,}
{,FRBA,First Bank,11.3,$211.58M,2013,n/a,n/a,}
{,BUSE,First Busey Corporation,26.24,$1.46B,n/a,Finance,Major Banks,}
{,FBIZ,"First Business Financial Services, Inc.",23.41,$204.86M,n/a,Finance,Major Banks,}
{,FCAP,"First Capital, Inc.",50.68,$170.51M,n/a,Finance,Savings Institutions,}
{,FCBP,First Choice Bancorp,21.81,$254.57M,n/a,Finance,Major Banks,}
{,FCNCA,"First Citizens BancShares, Inc.",451.59,$5.14B,n/a,Finance,Major Banks,}
{,FCBC,"First Community Bankshares, Inc.",34.1,$539.23M,n/a,Finance,Major Banks,}
{,FCCO,First Community Corporation,18.3,$140.27M,n/a,Finance,Major Banks,}
{,FDEF,First Defiance Financial Corp.,30.18,$595.15M,n/a,Finance,Savings Institutions,}
{,FFBC,First Financial Bancorp.,24.83,$2.45B,n/a,Finance,Major Banks,}
{,FFIN,"First Financial Bankshares, Inc.",61.97,$4.2B,n/a,Finance,Major Banks,}
{,THFF,First Financial Corporation Indiana,40.63,$499.35M,n/a,Finance,Major Banks,}
{,FFNW,"First Financial Northwest, Inc.",16.32,$170.46M,n/a,Finance,Major Banks,}
